@RELATION PPI

@ATTRIBUTE GO_sim_bp_avg numeric
@ATTRIBUTE GO_sim_bp_sum numeric
@ATTRIBUTE GO_sim_bp_max numeric
@ATTRIBUTE GO_sim_cc_avg numeric
@ATTRIBUTE GO_sim_cc_sum numeric
@ATTRIBUTE GO_sim_cc_max numeric
@ATTRIBUTE PCC_1_devtissues numeric
@ATTRIBUTE PCC_2_heterog numeric
@ATTRIBUTE domain_match numeric
@ATTRIBUTE domain_score numeric
@ATTRIBUTE orthology_score numeric
@ATTRIBUTE class {1,-1}

@DATA
0,0,0,0,0,0,0.36751363363472,0.633481121918618,0,0,3,1
0,0,0,0.0147058823529412,24,2,0,-0.198722555270793,0,0,1,1
0,0,0,0,0,0,0,0,1,0.333333333333333,1,1
0,0,0,0,0,0,0.779967690512585,0.372268210781972,0,0,1,1
0.0987654320987654,200,8,0.0617283950617284,5,5,1,1,2,1,1,1
0,0,0,0,0,0,0.382742589784344,0.63924013973164,2,1,1,1
0,0,0,0,0,0,0.14170662714782,0.531198373213802,0,0,1,1
0,0,0,0,0,0,-0.333025267820709,-0.217500432213639,1,0.5,1,1
0,0,0,0,0,0,-0.0332383801797707,-0.0551430986396778,0,0,1,1
0,0,0,0,0,0,0,0.247798351282302,0,0,4,1
0,0,0,0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0.59412608163859,0.82121994292548,1,1,1,1
0,0,0,0,0,0,-0.356591980364624,0.356142495454282,3,0.75,1,1
0,0,0,0,0,0,0,-0.0834914839602663,0,0,1,1
0,0,0,0,0,0,0.218216426309135,-0.153189708121232,0,0,0,1
0,0,0,0,0,0,0.068174032424275,0.582106566303665,2,0.4,1,1
0,0,0,0,0,0,-0.0445664093368006,-0.30054099457221,3,1,1,1
0,0,0,0,0,0,-0.256383883321231,-0.474693558601735,0,0,1,1
0,0,0,0,0,0,0.697616416993082,0.768645810846189,1,1,3,1
0,0,0,0,0,0,0.710362067280249,0.630263009131575,4,0.571428571428571,4,1
0.0526315789473684,90,5,0.0526315789473684,32,5,0.509911460135344,0.344884357175401,2,1,1,1
0,0,0,0,0,0,0.0148543640734357,0.729451158104193,0,0,1,1
0,0,0,0,0,0,0.288931175317447,0.28811225168686,0,0,1,1
0,0,0,0,0,0,0.308175202372353,-0.0979603441764161,2,1,1,1
0,0,0,0,0,0,-0.224210279637313,-0.117102978752239,0,0,1,1
0,0,0,0,0,0,0.594782886912653,0.657097135298861,0,0,3,1
0,0,0,0,0,0,0.327273019713692,0.66332382800725,0,0,0,1
0,0,0,0,0,0,0.0264659597365537,0.034880658409173,0,0,1,1
0,0,0,0.05,2,2,0,0.143348477778094,0,0,1,1
0,0,0,0,0,0,0.691674927860716,0.46474552311644,0,0,3,1
0,0,0,0,0,0,0.614939457014078,0.340796655095852,0,0,1,1
0.125,90,10,0.0875,63,7,0.853369286944201,0.690075914803847,2,1,2,1
0,0,0,0,0,0,-0.217113500154057,-0.0153391115426724,0,0,1,1
0.0306122448979592,120,3,0.0510204081632653,10,5,0.508289478242368,0.58076813927355,3,0.428571428571429,0,1
0,0,0,0,0,0,0.330688680413284,-0.180133741311567,0,0,1,1
0,0,0,0,0,0,0.010347027599931,-0.604007914221655,0,0,1,1
0,0,0,0,0,0,0.598290714541466,0.477767651405374,0,0,1,1
0.0113636363636364,32,1,0,0,0,0,0,0,0,1,1
0.00666666666666667,816,6,0.00555555555555556,333,5,1,1,6,1,1,1
0,0,0,0,0,0,0.351616919666643,0.486341125018058,0,0,1,1
0.041025641025641,560,8,0.0256410256410256,14,5,0,0,1,1,1,1
0.111111111111111,40,5,0.111111111111111,9,5,0.276231243962873,0.205313632173014,1,0.25,1,1
0,0,0,0.0357142857142857,12,3,0,0.684744558146026,0,0,1,1
0,0,0,0,0,0,1,1,2,1,1,1
0,0,0,0.0416666666666667,12,3,0,-0.203200039385114,0,0,3,1
0,0,0,0,0,0,0.492022698118843,0.479474470786728,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0.348470746828703,0.119919558583548,0,0,1,1
0,0,0,0,0,0,0.0220580228448106,0.0151945256053277,0,0,0,1
0,0,0,0,0,0,0.636181046303899,0.397851478133435,0,0,2,1
0,0,0,0,0,0,-0.474583120703153,-0.689333654658204,3,0.428571428571429,1,1
0.0240384615384615,294,5,0.0240384615384615,10,5,0,0,1,0.5,1,1
0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0.0892857142857143,45,5,0.5783760381539,0.682195452353008,2,0.666666666666667,1,1
0,0,0,0,0,0,0.143893592946276,0.623656997006885,0,0,1,1
0,0,0,0,0,0,-0.585903906850398,-0.632069971523434,0,0,3,1
0,0,0,0,0,0,-0.342175296749322,-0.0198777344059118,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,-0.41113620134272,-0.129657333600691,0,0,1,1
0,0,0,0.5,2,2,0,0.018953789589855,0,0,1,1
0,0,0,0,0,0,-0.336733803656569,0.158041368758062,2,0.285714285714286,3,1
0.0161943319838057,436,8,0.0101214574898785,315,5,0.791768654796611,0.852005884770872,0,0,3,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,-0.357194064415657,-0.312347093962652,0,0,0,1
0.0315789473684211,96,3,0,0,0,0.23929564196819,0.0148467510542026,0,0,1,1
0,0,0,0,0,0,0.53534947952367,0.342131777028357,2,0.5,1,1
0,0,0,0,0,0,-0.113271728222546,0.635713124000587,0,0,1,1
0,0,0,0,0,0,0,0.37983102509233,0,0,1,1
0.025974025974026,160,4,0.0324675324675325,42,5,-0.21981287847656,-0.204379776038113,0,0,1,1
0,0,0,0,0,0,0.794075868977496,0.775505236063308,0,0,1,1
0,0,0,0,0,0,0,0,1,0.5,1,1
0,0,0,0,0,0,0.133017614363283,0.268312809978624,3,0.428571428571429,1,1
0,0,0,0,0,0,0,0,0,0,1,1
0.053030303030303,168,7,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0.395172178330629,0.326461989568043,0,0,1,1
0,0,0,0,0,0,0.564828520534789,0.609636817215269,0,0,1,1
0,0,0,0,0,0,0.499419090935263,0.423149017290842,2,1,1,1
0,0,0,0,0,0,0,0.0464479677375418,0,0,1,1
0,0,0,0,0,0,0.364648032648893,0.421864486178919,2,1,0,1
0,0,0,0,0,0,0.115190257098004,0.102299354424889,2,0.666666666666667,1,1
0.0454545454545455,80,4,0.0568181818181818,21,5,-0.0749918711385098,0.135546308283309,0,0,1,1
0.0408163265306122,800,8,0.0255102040816327,20,5,0.666773428968957,0.737535344195868,4,1,3,1
0,0,0,0,0,0,0.652036435128798,0.676161423088241,2,1,1,1
0.0208333333333333,768,7,0,0,0,0.169143789524236,-0.0611422631521216,0,0,1,1
0,0,0,0,0,0,0.378230933466306,0.58621613716586,3,1,1,1
0,0,0,0,0,0,0.234203930999096,0.00995294404824806,0,0,1,1
0.0595238095238095,180,10,0.0416666666666667,261,7,0.607056705387967,0.732096481331926,2,0.5,1,1
0,0,0,0.104166666666667,30,5,-0.180114645415917,-0.29945762968236,3,0.428571428571429,1,1
0,0,0,0,0,0,0.298529626770003,0.217134433114006,2,0.4,1,1
0,0,0,0,0,0,0,0.303085186218141,0,0,1,1
0.0473372781065089,280,8,0.029585798816568,9,5,0,0,1,1,1,1
0,0,0,0.03125,8,2,0,0.244833619110798,0,0,1,1
0,0,0,0,0,0,0.113205790459774,0.751879739175074,1,1,1,1
0,0,0,0,0,0,0.181894535260851,0.592564399082747,0,0,1,1
0,0,0,0,0,0,0.319291263644734,0.249774235491779,0,0,1,1
